periode,lb_statut_esp,esp_nom_commun,esp_nom_commun_nb
2011,Préoccupation mineure,"Chabot, Truite de riviere, Vairon, Lamproie indéterminée (genre Lampetra), Carpe commune, Loche franche, Goujon, Ablette, Vandoise, Chevaine, Gremille, Gardon, Epinoche, Loche de rivière, Barbeau fluviatile, Carassin doré, Lamproie de planer, Brème commune, Rotengle, Cyprinidés, Bouvière, Tanche, Carpe miroir, Truite arc-en-ciel, Brème bordelière, Carassin, Able de Heckel, Epinochette, Truite de mer, Flet commun, Mulet porc, Hotu, Saumon atlantique, Spirlin, Gobie demi-lune, Aspe, Gobie de kessler, Gobie à tache noire, Lote de rivière, Carassin argente, Hybride brème-gardon, Ide melanote, Blageon, Saumon de fontaine, Carpe cuir, L'Amour blanc, Lamproie de rivière, Vandoise rostrée, Lamproie marine, Toxostome, Carrassin doré, Crapet de roche, Tête de boule, Carpe koï, Black bass à grande bouche, Carpe agentée, Gambusie, Mulet à grosses levres, Epirine lippue, Mulet cabot, Barbeau méridional, Blennie, Alose feinte, Atherine prêtre, Apron, Bar",66
2013,Préoccupation mineure,"Chabot, Vairon, Truite de riviere, Lamproie indéterminée (genre Lampetra), Truite arc-en-ciel, Epinoche, Lamproie de planer, Truite de mer, Gardon, Ablette, Loche franche, Goujon, Chevaine, Vandoise, Bouvière, Brème commune, Gremille, Loche de rivière, Barbeau fluviatile, Rotengle, Brème bordelière, Carassin argente, Carpe commune, Tanche, Carassin, Epinochette, Carassin indéterminé, Flet commun, Hotu, Gobie de kessler, Brème indéterminée, Blageon, Gobie à tache noire, Gobie demi-lune, Spirlin, Aspe, Saumon atlantique, Lote de rivière, Lamproie marine, Ide melanote, Able de Heckel, Carpe miroir, Hybride brème-gardon, Carassin doré, Saumon de fontaine, Cyprinidés, Vandoise rostrée, Lamproie de rivière, Carpe cuir, L'Amour blanc, Crapet de roche, Carrassin doré, Carpe agentée, Black bass à grande bouche, Tête de boule, Mulet porc, Gambusie, phoxinus sp, Gobio sp, Epirine lippue, Toxostome, Micropterus sp, Barbeau méridional, Blennie, Vairon du Languedoc, Vairon béarnais, Alose feinte, Atherine prêtre, Apron, Mulet cabot, Bar",71
2015,Préoccupation mineure,"Chabot, Vairon, Truite de riviere, Lamproie de rivière, Lamproie indéterminée (genre Lampetra), Epinoche, Lamproie de planer, Truite arc-en-ciel, Loche franche, Vandoise, Goujon, Chevaine, Ablette, Gardon, Bouvière, Gremille, Barbeau fluviatile, Carassin argente, Carpe miroir, Carpe commune, Rotengle, Brème bordelière, Able de Heckel, Loche de rivière, Tanche, Brème commune, Carassin, Hybride brème-gardon, Epinochette, Saumon atlantique, Truite de mer, Cyprinidés, Flet commun, Gobie à tache noire, Hotu, Gobie de kessler, Spirlin, Blageon, Gobie demi-lune, Aspe, Lote de rivière, Brème indéterminée, Ide melanote, Gobie fluviatile, Carrassin doré, Gobie de sable, Bar, Vandoise rostrée, Lamproie marine, Toxostome, Crapet de roche, Carassin doré, L'Amour blanc, Carpe cuir, Mulet porc, Carpe agentée, Black bass à grande bouche, Barbotte brune, Gambusie, phoxinus sp, Gobio sp, Epirine lippue, Saumon de fontaine, Barbeau méridional, Vairon béarnais, Blennie, Carpe koï, Atherine prêtre, Apron, Barbeau indéterminé, Groupe Cobitis - Barbatula, Loche italienne, Mulet cabot, Mulet à grosses levres, Chabot du Lez, Carassin indéterminé",76
2017,Préoccupation mineure,"Chabot, Vairon, Truite de riviere, Lamproie indéterminée (genre Lampetra), Epinoche, Lamproie de rivière, Truite de mer, Loche franche, Vandoise, Chevaine, Goujon, Gardon, Ablette, Loche de rivière, Barbeau fluviatile, Tanche, Spirlin, Lamproie de planer, Carassin argente, Brème commune, Brème bordelière, Bouvière, Cyprinidés, Rotengle, Carrassin doré, Carpe miroir, Carpe commune, Able de Heckel, Gobie à tache noire, Carpe agentée, Gremille, Truite arc-en-ciel, Epinochette, Brème indéterminée, Carassin, Saumon atlantique, Flet commun, Hotu, Aspe, Gobie demi-lune, Gobie de kessler, Lote de rivière, Gobie fluviatile, Saumon de fontaine, Ide melanote, Blageon, Carpe cuir, Gobie de sable, Gobio sp, Vandoise rostrée, Mulet porc, Lamproie marine, Toxostome, L'Amour blanc, Crapet de roche, Black bass à grande bouche, Tête de boule, Hybride brème-gardon, Gambusie, Plie commune, phoxinus sp, Epirine lippue, Carassin indéterminé, Blennie, Barbeau méridional, Apron, Barbeau indéterminé, Loche italienne, Bar, Mulet cabot, Chabot du Lez, Atherine prêtre, Carassin doré",73
2019,Préoccupation mineure,"Vairon, Chabot, Truite de riviere, Lamproie indéterminée (genre Lampetra), Lamproie de planer, Vandoise, Loche franche, Chevaine, Ablette, Gardon, Goujon, Barbeau fluviatile, Loche de rivière, Bouvière, Tanche, Gremille, Brème commune, Epinoche, Able de Heckel, Carassin argente, Rotengle, Gobie à tache noire, Brème indéterminée, Brème bordelière, Truite arc-en-ciel, Carassin, Epinochette, Carpe commune, Ide melanote, Saumon atlantique, Truite de mer, Flet commun, Hotu, Gobie demi-lune, Gobie de kessler, Loche italienne, Blageon, Aspe, Spirlin, Carpe miroir, Lote de rivière, Carassin indéterminé, Gobie fluviatile, Loche d'étang, Cyprinidés, Saumon de fontaine, Carpe cuir, Carpe koï, Lamproie de rivière, Gobie de sable, Lamproie marine, Vandoise rostrée, Crapet de roche, Gobio sp, Black bass à grande bouche, Carrassin doré, Mulet porc, Hybride brème-gardon, L'Amour blanc, Gambusie, Barbotte brune, Toxostome, Epirine lippue, Carpe agentée, Barbeau méridional, Blennie, Barbeau indéterminé, Salmonidés, Bar, Apron, Atherine prêtre, Mulet cabot, Mulet à grosses levres, Carassin doré, Chabot du Lez, Atherine de boyer",76
1991,exotique,"Perche soleil, Sandre, Poisson chat",3
1993,exotique,"Sandre, Perche soleil, Poisson chat",3
1995,exotique,"Sandre, Perche soleil, Poisson chat, Silure glane",4
1997,exotique,"Perche soleil, Sandre, Poisson chat, Silure glane",4
1999,exotique,"Sandre, Perche soleil, Silure glane, Poisson chat",4
